Date,SL20_Synthetic,MA_5,MA_20,Volatility_20
1/26/2018,1013.2233534564001,1009.9005459131737,1015.8386446009372,8.183647623019226
1/29/2018,1010.8582081240953,1010.5732713540561,1016.381555007142,7.4002728628888335
1/30/2018,1019.4042190160102,1012.727020853696,1017.002142,7.085180838374997
1/31/2018,1019.4042190160102,1014.9191003221247,1016.9705394697079,7.072333216174709
2/1/2018,1019.7632909726661,1016.5306581170364,1017.063846185091,7.097467168532407
2/2/2018,1025.6714665117486,1019.0202807281061,1016.9801659429401,6.978743111836868
2/5/2018,1025.6714665117486,1021.9829324056367,1016.7675238864355,6.619102425124532
2/6/2018,1021.7995549525893,1022.4619995929527,1016.4472336027438,6.176710636333944
2/7/2018,1022.5988275210866,1023.1009212939678,1016.3720421018481,6.087116888501405
2/8/2018,1033.8343050144179,1025.915124102318,1016.8716322247186,7.064134353305697
2/9/2018,1038.3412371647232,1028.449078232913,1017.796985780895,8.532228790875525
2/12/2018,1029.9695873828891,1029.3087024071415,1018.3037568479798,8.950346722823207
2/13/2018,1029.9695873828891,1030.9427088932011,1019.0543972736641,9.278400333490048
2/14/2018,1026.8494635038899,1031.7928360897617,1019.7310344783306,9.331246022623336
2/15/2018,1021.7916439908756,1029.3843038850534,1020.402293544261,8.945600915110047
2/16/2018,1029.1357656158725,1027.5432095752833,1021.228278612369,8.951491731378454
2/19/2018,1032.3960506816827,1028.028502235042,1022.4733521004691,8.66801562
2/20/2018,1036.6348512158675,1029.3615550016377,1023.8733210853718,8.576032256
2/21/2018,1039.889499981694,1031.9695622971985,1025.4456050007632,8.480396143067065
2/22/2018,1034.5768101639671,1034.5265955318168,1026.5891704090561,8.061797163071578
2/23/2018,1031.375497460354,1034.974541900713,1027.496777609254,7.478557923559807
2/26/2018,1030.6830139203537,1034.6319345484471,1028.4880178990668,6.392045652212932
2/27/2018,1032.4466291548595,1033.7942901362455,1029.1401384060093,6.073916115544211
2/28/2018,1027.2817053239937,1031.2727312047057,1029.5340127214083,5.649963158798544
3/1/2018,1027.2817053239937,1029.813710236711,1029.9099334389748,5.197667227876208
3/2/2018,1028.8951155213035,1029.3176338489006,1030.0711158894524,5.108531591929151
3/5/2018,1025.4800592819015,1028.2770429212105,1030.0615455279603,5.117379365197588
3/6/2018,1022.415843,1026.2708857032485,1030.0923599335833,5.066614914327375
3/7/2018,1016.6473781569063,1024.144020269831,1029.7947874653742,5.668865414158127
3/8/2018,1019.7551348295917,1022.6387061709505,1029.090828956133,6.005043660634478
